k,numerator,denominator,decimal
0,-1,2,-0.500000000000000
1,1,8,0.125000000000000
2,-1,4,-0.250000000000000
3,15,128,0.117187500000000
4,0,1,0.000000000000000
5,-47,1024,-0.045898437500000
6,-1,16,-0.062500000000000
7,987,32768,0.030120849609375
8,0,1,0.000000000000000
9,-3673,262144,-0.014011383056641
10,1,32,0.031250000000000
11,-61029,4194304,-0.014550447463989
12,0,1,0.000000000000000
13,-689455,33554432,-0.020547360181808
14,-21,512,-0.041015625000000
15,59250963,2147483648,0.027590879704803
16,0,1,0.000000000000000
17,-164712949,17179869184,-0.009587555483449
18,39,2048,0.019042968750000
19,-2402805839,274877906944,-0.008741356719838
20,-1,64,-0.015625000000000
21,-4850812329,2199023255552,-0.002205894056260
22,29,2048,0.014160156250000
23,-18151141041,70368744177664,-0.000257943228249
24,0,1,0.000000000000000
25,3534139462275,562949953421312,0.006277892805207
26,-1039,131072,-0.007926940917969
27,-22045971176589,9007199254740992,-0.002447594480047
28,-1,256,-0.003906250000000
29,-750527255965871,72057594037927936,-0.010415658002276
30,-4579,524288,-0.008733749389648
31,54146872254247683,9223372036854775808,0.005870615653135
32,0,1,0.000000000000000
33,-155379776183158669,73786976294838206464,-0.002105788636226
34,2851,1048576,0.002718925476074
35,-6051993294029466699,1180591620717411303424,-0.005126237716605
36,-1,1024,-0.000976562500000
37,7704579806709870203,9444732965739290427392,0.000815754117629
38,92051,16777216,0.005486667156219
39,-403307733528668035403,302231454903657293676544,-0.001334433352270
40,0,1,0.000000000000000
41,1650116480759617184697,2417851639229258349412352,0.000682472180669
42,-229813,67108864,-0.003424480557442
43,36124726440442241978477,38685626227668133590597632,0.000933802292041
44,-41,4096,-0.010009765625000
45,-225851495844149964787753,309485009821345068724781056,-0.000729765541712
46,564373,67108864,0.008409813046455
47,-35761228458796476847725737,19807040628566084398385987584,-0.001805480643445
48,0,1,0.000000000000000
49,362376876750551361794705823,158456325028528675187087900672,0.002286919608197
50,-29407003,8589934592,-0.003423425718211
51,-6510398483578238274151194427,2535301200456458802993406410752,-0.002567899420553
52,33,8192,0.004028320312500
53,74815618913797220433481657203,20282409603651670423947251286016,0.003688694803813
54,-30057875,34359738368,-0.000874799297890
55,-698617278028915809388280344009,649037107316853453566312041152512,-0.001076390348338
56,0,1,0.000000000000000
57,-8675905413734991085610532783493,5192296858534827628530496329220096,-0.001670918603098
58,-27868893,68719476736,-0.000405545768444
59,-375687870961637050293461860951517,83076749736557242056487941267521536,-0.004522178252676
60,1,4096,0.000244140625000
61,-1418434432207399687114226995905967,664613997892457936451903530140172288,-0.002134222927452
62,-11847286243,1099511627776,-0.010775044068396
63,1084116104452462070609082665064238307,170141183460469231731687303715884105728,0.006371861782097
64,0,1,0.000000000000000
65,-5267312999069023320468907267187837501,1361129467683753853853498429727072845824,-0.003869810421512
66,21920911673,4398046511104,0.004984238256156
67,-12587804195470930508423250884414875171,21778071482940061661655974875633165533184,-0.000578003621915
68,-55,65536,-0.000839233398438
69,-417465475024774297026833228267243630109,174224571863520493293247799005065324265472,-0.002396134314233
70,10217713227,4398046511104,0.002323239011048
71,-767196419810162046740001735517744387367,5575186299632655785383929568162090376495104,-0.000137609109109
72,0,1,0.000000000000000
73,78305803829791781470449330875047041905661,44601490397061246283071436545296723011960832,0.001755676842471
74,-1447722066907,281474976710656,-0.005143341990202
75,-309138699931269436435772103286758515421879,713623846352979940529142984724747568191373312,-0.000433195585477
76,-6677,2097152,-0.003183841705322
77,-4762077071053136681440439791970629118569861,5708990770823839524233143877797980545530986496,-0.000834136410833
78,8140709464361,1125899906842624,0.007230402467294
79,-898433408030351928659626606398808743523101411,365375409332725729550921208179070754913983135744,-0.002458932333928
80,0,1,0.000000000000000
81,6396904578318243782775827158644261596698981573,2923003274661805836407369665432566039311865085952,0.002188469863777
82,-7113832088153,2251799813685248,-0.003159176071034
83,12325347197791945711576332419237705246727881039,46768052394588893382517914646921056628989841375232,0.000263542024239
84,10439,8388608,0.001244425773621
85,859524763639415653256406686989311141385605931017,374144419156711147060143317175368453031918731001856,0.002297307455706
86,-36843615694781,36028797018963968,-0.001022615761370
87,-346210142151645442264854087843339281975229036359,11972621413014756705924586149611790497021399392059392,-0.000028916820319
88,0,1,0.000000000000000
89,-399629924972837688479488577064957798395993139497083,95780971304118053647396689196894323976171195136475136,-0.004172331095954
90,-10288277991389,144115188075855872,-0.000071389269436
91,-1012304885972405900855581770068720885091139867803867,1532495540865888858358347027150309183618739122183602176,-0.000660559759541
92,-104325,33554432,-0.003109127283096
93,4103777203739806732878678125824143143154829453682775,12259964326927110866866776217202473468949912977468817408,0.000334729946540
94,340704551647237,144115188075855872,0.002364112736458
95,108376734166611269209485353086407219330670697959596263,1569275433846670190958947355801916604025588861116008628224,0.000069061639422
96,0,1,0.000000000000000
97,6782399940562309096731441404849652006563439725039228663,12554203470773361527671578846415332832204710888928069025792,0.000540249324169
98,-13025534542844563,36893488147419103232,-0.000353057821228
99,-5212774163111565741384568993260007702411936933422137151,200867255532373784442745261542645325315275374222849104412672,-0.000025951338606
100,69735,134217728,0.000519566237926
101,1749621609166100653959196203116873770019996374684408079183,1606938044258990275541962092341162602522202993782792835301376,0.001088792200432
102,-71608953734461123,147573952589676412928,-0.000485241145052
103,1311635862589369585472703589697877677901086925728121746745,51422017416287688817342786954917203280710495801049370729644032,0.000025507281287
104,-33,16384,-0.002014160156250
105,-365885284282303297886245644284276114667710996174122761557075,411376139330301510538742295639337626245683966408394965837152256,-0.000889417857044
106,36281518593201443,295147905179352825856,0.000122926566499
107,-21037435104652553397530379423554311424543666822639692977470847,6582018229284824168619876730229402019930943462534319453394436096,-0.003196198243732
108,475805,134217728,0.003545023500919
109,154472070943271712563673702833927794825195557591870681879926259,52656145834278593348959013841835216159447547700274555627155488768,0.002933600028939
110,-7279642326975824071,4722366482869645213696,-0.001541524223794
111,1472937063700516491377968726867240513261137840579590913223565151,3369993333393829974333376885877453834204643052817571560137951281152,0.000437074177300
112,0,1,0.000000000000000
113,-30016936941029238795511924604636437853053801779596964566485113401,26959946667150639794667015087019630673637144422540572481103610249216,-0.001113390071265
114,5284604814359475389,18889465931478580854784,0.000279764649436
115,795627929409815556008117859171272456370091708773942301881031524397,431359146674410236714672241392314090778194310760649159697657763987456,0.001844467505891
116,639193,1073741824,0.000595294870436
117,-2619701071176509604609471545269563642151980416641905221365809825301,3450873173395281893717377931138512726225554486085193277581262111899648,-0.000759141509857
118,-20860683838102114113,18889465931478580854784,-0.001104355407070
119,-138268885720927885713404244258390439076583246641539533859266359532537,110427941548649020598956093796432407239217743554726184882600387580788736,-0.001252118655676
120,-33,65536,-0.000503540039062
121,120065623815432109297897401316904025258970435605148784501336912044907,883423532389192164791648750371459257913741948437809479060803100646309888,0.000135909469709
122,-1671161044648160976945,1208925819614629174706176,-0.001382352016587
123,235183938660872677677759316970790053238014769813356479079650877789059,14134776518227074636666380005943348126619871175004951664972849610340958208,0.000016638674008
124,-725625,4294967296,-0.000168947735801
125,-409961135793900161853290015403455895724345127508218050040343153192380335,113078212145816597093331040047546785012958969400039613319782796882727665664,-0.003625465313028
126,-10111509191249229780013,4835703278458516698824704,-0.002091011091663
127,104105914542998754338954254950933521028178746243498328611098025618931587235,57896044618658097711785492504343953926634992332820282019728792003956564819968,0.001798152451151
128,0,1,0.000000000000000
129,-43580996806273210517501141950817703073081227840289714743086658438448881053,463168356949264781694283940034751631413079938662562256157830336031652518559744,-0.000094093208555
130,16506579224278377447821,9671406556917033397649408,0.001706740289237
131,-5291166082614465507900402287577166520692790918940550851351996855554678161235,7410693711188236507108543040556026102609279018600996098525285376506440296955904,-0.000713990658476
132,-294996927,137438953472,-0.002146385137166
133,-28477581699252930276988826093291737504693461254525056894833637606623252912333,59285549689505892056868344324448208820874232148807968788202283012051522375647232,-0.000480346085149
134,175500623382876533700741,154742504910672534362390528,0.001134146196510
135,-290134568698401615270803872770325633954835866812519773412106892357519871238335,1897137590064188545819787018382342682267975428761855001222473056385648716020711424,-0.000152932802670
136,13,262144,0.000049591064453
137,-13633491876970405442332852492529912584815063119571974440979940204798782854620507,15177100720513508366558296147058741458143803430094840009779784451085189728165691392,-0.000898293562653
138,-468313198532168593346691,618970019642690137449562112,-0.000756600778181
139,146679191319490251210214162419841595908477113479350056801845758575660598303803361,242833611528216133864932738352939863330300854881517440156476551217363035650651062272,0.000604031667595
140,-568992355,549755813888,-0.001034991064444
141,1124832409989212509045945615993252060070897025506411795390648913431171550301982947,1942668892225729070919461906823518906642406839052139521251812409738904285205208498176,0.000579013960892
142,1078192855540008727273043,618970019642690137449562112,0.001741914505265
143,-83283543070995966726491129327302399125127091962843392815408081892622612191675196159,124330809102446660538845562036705210025114037699336929360115994223289874253133343883264,-0.000669854428458
144,0,1,0.000000000000000
145,514212139641264083585631959659619695294127275051843320770756204836538424366035941993,994646472819573284310764496293641680200912301594695434880927953786318994025066751066112,0.000516979805079
146,-59146818568353277756070159,79228162514264337593543950336,-0.000746537805388
147,-9511636929399299544960838007508040518433042788951960386689311853500521681842643668725,15914343565113172548972231940698266883214596825515126958094847260581103904401068017057792,-0.000597676988088
148,1834345301,2199023255552,0.000834163666241
149,48426581541653764037427847411453254038777219154705774934425383518616599776984483027597,127314748520905380391777855525586135065716774604121015664758778084648831235208544136462336,0.000380368983989
150,-170654635573266980933214231,316912650057057350374175801344,-0.000538491081194
151,-967461965770124610403117714875777316261627605098722633846578134777018823203571448378171,4074071952668972172536891376818756322102936787331872501272280898708762599526673412366794752,-0.000237468060704
152,-1265,1048576,-0.001206398010254
153,-9779810999355378942904563487546888240348497447991169961306671531441545729874742309460799,32592575621351777380295131014550050576823494298654980010178247189670100796213387298934358016,-0.000300062539180
154,-557956160964668210363035449,633825300114114700748351602688,-0.000880299604424
155,-553402979446154230241393816746032128841627473126126440479588326601835860126999890118655823,521481209941628438084722096232800809229175908778479680162851955034721612739414196782949728256,-0.001061213652373
156,-3093862891,8796093022208,-0.000351731488422
157,1190023755135072851723368833995725415563728171241922114879183587741073784495125101111424507,4171849679533027504677776769862406473833407270227837441302815640277772901915313574263597826048,0.000285250871088
158,16338264435940752159686683761,10141204801825835211973625643008,0.001611077259085
159,-159265621133342817793010551736970507411744455904251367104052627741720240557498954539521147283,533996758980227520598755426542388028650676130589163192486760401955554931445160137505740521734144,-0.000298252037030
160,0,1,0.000000000000000
161,1068209937433639309448530533143994841461211893318920212646134978433822792736767422359780963901,4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873152,0.000250050660297
162,-32311527284616962991735607059,40564819207303340847894502572032,-0.000796540645713
163,21683451192360971160112937982426875222116808013597948538053875333005102035779029341884157456699,68351585149469122636640694597425667667286544715412888638305331450311031224980497600734786781970432,0.000317234064798
164,5768515427,17592186044416,0.000327902138622
165,347802167325340235909173842563130110455128082779647491829054764220247031102777815783286930073429,546812681195752981093125556779405341338292357723303109106442651602488249799843980805878294255763456,0.000636053587062
166,-27445340036018663189247713993,40564819207303340847894502572032,-0.000676579868279
167,-18245423626005078350781682030251933181451347747127812333469630156191488032948726069925592376488181,17498005798264095394980017816940970922825355447145699491406164851279623993595007385788105416184430592,-0.001042714457656
168,507,4194304,0.000120878219604
169,-76445221191685652808725339189090339190559336612672652713912501917875028878730008068733504496974137,139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736,-0.000546099524662
170,519283213047784707099783408845,2596148429267413814265248164610048,0.000200020617925
171,437979869983459684420919337669220048525190314965343180400799851795400164887449059678313266012456563,2239744742177804210557442280568444278121645497234649534899989100963791871180160945380877493271607115776,0.000195549011338
172,45349077837,35184372088832,0.001288898313220
173,17618787435907578707008956806804036310435508303248288086942978765226792825245654470177651200555637897,17917957937422433684459538244547554224973163977877196279199912807710334969441287563047019946172856926208,0.000983303314889
